,0
1421395,541
1313042,542
1401139,543
1305412,544
1556065,545
1360097,546
1306418,547
1460248,548
1435700,549
1303527,550
1548272,551
1604809,552
1365853,553
1293337,554
1354739,555
1503987,556
1368435,557
1368916,558
1369028,559
1560181,560
1369119,561
1335789,562
1281672,563
1414076,564
1365745,565
1335258,566
1410878,567
1606447,568
1376428,569
1546378,570
1284192,571
1491707,572
1327022,573
1374959,574
1412257,575
1281553,576
1334090,577
1504448,578
1413758,579
1413737,580
1343290,581
1289438,582
1338792,583
1592700,584
1328161,585
1360780,586
1418383,587
1299461,588
1464592,589
1298920,590
1378789,591
1464859,592
1489740,593
1369534,594
1282426,595
1360649,596
1470592,597
1363175,598
1335393,599
1360332,600
1363289,601
1363311,602
1552891,603
1325146,604
1363695,605
1364893,606
1365264,607
1490188,608
1424388,609
1368095,610
1338775,611
1367891,612
1416402,613
1498515,614
1367843,615
1337826,616
1425350,617
1587533,618
1466905,619
1368892,620
1363481,621
1409740,622
1476264,623
1340481,624
1503556,625
1509302,626
1357999,627
1387934,628
1300691,629
1312400,630
1528258,631
1387958,632
1353745,633
1319218,634
1438611,635
1387471,636
1330974,637
1327933,638
1341466,639
1348694,640
1527484,641
1487401,642
1328182,643
1300674,644
1447421,645
1527594,646
1326408,647
1323943,648
1344445,649
1354574,650
1479942,651
1346623,652
1478053,653
1399306,654
1513219,655
1393708,656
1320385,657
1347005,658
1526098,659
1322497,660
1344423,661
1344677,662
1308329,663
1342276,664
1347611,665
1580354,666
1289345,667
1481663,668
1482123,669
1354516,670
1480580,671
1488686,672
1388584,673
1506304,674
1286656,675
1497744,676
1331574,677
1525270,678
1497531,679
1390250,680
1498925,681
1350963,682
1332274,683
1387145,684
1523944,685
1502988,686
1500562,687
1333403,688
1335521,689
1299523,690
1387715,691
1499171,692
1499037,693
1484545,694
1300110,695
1494939,696
1385516,697
1390103,698
1490438,699
1513949,700
1328980,701
1577684,702
1447077,703
1352571,704
1515190,705
1311622,706
1513138,707
1311744,708
1389309,709
1393830,710
1493215,711
1337344,712
1383484,713
1526283,714
1389292,715
1511266,716
1499401,717
1511822,718
1337567,719
1352296,720
1529252,721
1313813,722
1310342,723
1586652,724
1284625,725
1381315,726
1353644,727
1314374,728
1561494,729
1297273,730
1454690,731
1561434,732
1529226,733
1454879,734
1430655,735
1297323,736
1532426,737
1353222,738
1586030,739
1333950,740
1398084,741
1427935,742
1558637,743
1310536,744
1494784,745
1375124,746
1488097,747
1428197,748
1454051,749
1427522,750
1302319,751
1456720,752
1588045,753
1311728,754
1513829,755
1551893,756
1374030,757
1356213,758
1458604,759
1357208,760
1559008,761
1333883,762
1378289,763
1319383,764
1394358,765
1322662,766
1562751,767
1349737,768
1349454,769
1317468,770
1473001,771
1333562,772
1386517,773
1376470,774
1319071,775
1345872,776
1399934,777
1451233,778
1322369,779
1312708,780
1356158,781
1394957,782
1537763,783
1377591,784
1403363,785
1345617,786
1475785,787
1536098,788
1468068,789
1319266,790
1311023,791
1467444,792
1316915,793
1534990,794
1314079,795
1529780,796
1362754,797
1521215,798
1433515,799
1322480,800
1296024,801
1305571,802
1426824,803
1490767,804
1467958,805
1359369,806
1514370,807
1565527,808
1305911,809
1516667,810
1347158,811
1403597,812
1331407,813
1281499,814
1433540,815
1504648,816
1314254,817
1487587,818
1412078,819
1370780,820
1465093,821
1287469,822
1299064,823
1475533,824
1374979,825
1293412,826
1562412,827
1292435,828
1407116,829
1523957,830
1283879,831
1411496,832
1548317,833
1506522,834
1307842,835
1285590,836
1550332,837
1311149,838
1420058,839
1484850,840
1520615,841
1343642,842
1521112,843
1300533,844
1337031,845
1286956,846
1340568,847
1521361,848
1333283,849
1391546,850
1340638,851
1578576,852
1488378,853
1488515,854
1342168,855
1347971,856
1319281,857
1482669,858
1342889,859
1349010,860
1447122,861
1489520,862
1319046,863
1351259,864
1345190,865
1475060,866
1394506,867
1346125,868
1301481,869
1483497,870
1349715,871
1469527,872
1469372,873
1468754,874
1350506,875
1480848,876
1345772,877
1396279,878
1453804,879
1451036,880
1301288,881
1387233,882
1344466,883
1344543,884
1482619,885
1481983,886
1338833,887
1387631,888
1347509,889
1480268,890
1301063,891
1482018,892
1346155,893
1580958,894
1347137,895
1477654,896
1347226,897
1344908,898
1347490,899
1349408,900
1389281,901
1511227,902
1509275,903
1329646,904
1299148,905
1379743,906
1510347,907
1509913,908
1441795,909
1330690,910
1441889,911
1508345,912
1330879,913
1288258,914
1512359,915
1385327,916
1351456,917
1525245,918
1331570,919
1385264,920
1506321,921
1571635,922
1442941,923
1571864,924
1287999,925
1326771,926
1568296,927
1439812,928
1288890,929
1512283,930
1352853,931
1311272,932
1569979,933
1331581,934
1514369,935
1319048,936
1329359,937
1524518,938
1329554,939
1393326,940
1443236,941
1389295,942
1483551,943
1349836,944
1299913,945
1522469,946
1336951,947
1337186,948
1522362,949
1495637,950
1300379,951
1496822,952
1496787,953
1495371,954
1351119,955
1337772,956
1337837,957
1349502,958
1493907,959
1493634,960
1492948,961
1574598,962
1320046,963
1283165,964
1333872,965
1391875,966
1299497,967
1391635,968
1386426,969
1333190,970
1333240,971
1311955,972
1502918,973
1306458,974
1502487,975
1398999,976
1499020,977
1387013,978
1501128,979
1303418,980
1332092,981
1307863,982
1335018,983
1334494,984
1574530,985
1390563,986
1287533,987
1584561,988
1334062,989
1333784,990
1405711,991
1475385,992
1418854,993
1335715,994
1335590,995
1601856,996
1467361,997
1338197,998
1367824,999
1338655,1000
1417773,1001
1417360,1002
1469523,1003
1338556,1004
1416439,1005
1416111,1006
1377951,1007
1335776,1008
1416094,1009
1334601,1010
1603402,1011
1338429,1012
1416073,1013
1377713,1014
1369847,1015
1516217,1016
1378816,1017
1465173,1018
1431459,1019
1509962,1020
1364430,1021
1426838,1022
1365640,1023
1465397,1024
1365874,1025
1599952,1026
1509265,1027
1600301,1028
1424580,1029
1424292,1030
1603507,1031
1373439,1032
1314106,1033
1605971,1034
1314445,1035
1373461,1036
1373214,1037
1306343,1038
1506090,1039
1605811,1040
1373179,1041
1410289,1042
1376500,1043
1305652,1044
1337126,1045
1373349,1046
1374036,1047
1374104,1048
1461734,1049
1372769,1050
1374339,1051
1410541,1052
1314088,1053
1375086,1054
1473318,1055
1343850,1056
1337533,1057
1415472,1058
1370715,1059
1415120,1060
1313742,1061
1337995,1062
1337952,1063
1371346,1064
1604711,1065
1604883,1066
1371609,1067
1506886,1068
1506847,1069
1504470,1070
1337570,1071
1305563,1072
1471013,1073
1376604,1074
1372721,1075
1471167,1076
1464554,1077
1432729,1078
1381830,1079
1458608,1080
1317215,1081
1458039,1082
1398435,1083
1512748,1084
1351134,1085
1355714,1086
1344448,1087
1357119,1088
1452819,1089
1452901,1090
1381320,1091
1502471,1092
1459083,1093
1358095,1094
1317055,1095
1512010,1096
1512837,1097
1355457,1098
1355353,1099
1396631,1100
1584816,1101
1307202,1102
1352783,1103
1462257,1104
1344985,1105
1395962,1106
1353183,1107
1462339,1108
1397313,1109
1397590,1110
1480324,1111
1342436,1112
1397757,1113
1397890,1114
1458747,1115
1344549,1116
1400224,1117
1335503,1118
1362960,1119
1341945,1120
1316341,1121
1437946,1122
1438092,1123
1439333,1124
1511085,1125
1362970,1126
1435874,1127
1435787,1128
1596705,1129
1363276,1130
1341674,1131
1433426,1132
1464492,1133
1316488,1134
1342231,1135
1381230,1136
1380591,1137
1445520,1138
1359738,1139
1334958,1140
1342861,1141
1360045,1142
1360068,1143
1512166,1144
1316725,1145
1361744,1146
1443735,1147
1401126,1148
1401291,1149
1461107,1150
1361117,1151
1441509,1152
1379761,1153
1441275,1154
1331261,1155
1363832,1156
1560049,1157
1409212,1158
1547540,1159
1312525,1160
1357440,1161
1366226,1162
1323522,1163
1361155,1164
1357394,1165
1298033,1166
1407830,1167
1297936,1168
1375772,1169
1560459,1170
1369402,1171
1553269,1172
1360914,1173
1311013,1174
1407868,1175
1494715,1176
1580592,1177
1369420,1178
1309138,1179
1310716,1180
1360962,1181
1551954,1182
1309845,1183
1289097,1184
1316071,1185
1368075,1186
1322203,1187
1431551,1188
1410280,1189
1293357,1190
1294040,1191
1592688,1192
1361817,1193
1361783,1194
1295949,1195
1356309,1196
1295847,1197
1562380,1198
1325784,1199
1310952,1200
1590666,1201
1329727,1202
1545316,1203
1290750,1204
1544510,1205
1541490,1206
1541179,1207
1309663,1208
1416895,1209
1295493,1210
1329754,1211
1539687,1212
1297533,1213
1539689,1214
1588750,1215
1314974,1216
1369538,1217
1296002,1218
1307050,1219
1560376,1220
1307205,1221
1526309,1222
1307646,1223
1372952,1224
1291535,1225
1569417,1226
1295981,1227
1291967,1228
1302753,1229
1359253,1230
1420093,1231
1358050,1232
1306372,1233
